Generating pseudo labels for product data
pseudo label correct rate is 0.8150484343320568
Data statistic {'art': 2427, 'clipart': 4365, 'real_world': 4357}
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
PromptGenerator =================================================================
Layer (type:depth-idx)                   Param #
=================================================================
PromptGenerator                          540,672
├─ParameterList: 1-1                     24,576
=================================================================
Total params: 565,248
Trainable params: 565,248
Non-trainable params: 0
=================================================================
name: ctx_cls, shape torch.Size([65, 16, 512]), require grad: True
name: ctx_target, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.0, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.1, shape torch.Size([1, 16, 512]), require grad: True
name: ctx_source.2, shape torch.Size([1, 16, 512]), require grad: True
Best accuracy so far: 0.8999094202898551, step 110, accuracy 0.865036231884058
Best accuracy so far: 0.8999094202898551, step 111, accuracy 0.863677536231884
Best accuracy so far: 0.8999094202898551, step 112, accuracy 0.8670742753623188
Best accuracy so far: 0.8999094202898551, step 113, accuracy 0.8652626811594203
Best accuracy so far: 0.8999094202898551, step 114, accuracy 0.8652626811594203
Best accuracy so far: 0.8999094202898551, step 115, accuracy 0.8648097826086957
Best accuracy so far: 0.8999094202898551, step 116, accuracy 0.863677536231884
Best accuracy so far: 0.8999094202898551, step 117, accuracy 0.8654891304347826
Best accuracy so far: 0.8999094202898551, step 118, accuracy 0.8632246376811594
Best accuracy so far: 0.8999094202898551, step 119, accuracy 0.8666213768115942
Best accuracy so far: 0.8999094202898551, step 120, accuracy 0.865036231884058
Best accuracy so far: 0.8999094202898551, step 121, accuracy 0.8675271739130435
Best accuracy so far: 0.8999094202898551, step 122, accuracy 0.8657155797101449
Best accuracy so far: 0.8999094202898551, step 123, accuracy 0.8682065217391305
Best accuracy so far: 0.8999094202898551, step 124, accuracy 0.8688858695652174
Best accuracy so far: 0.8999094202898551, step 125, accuracy 0.8679800724637681
Best accuracy so far: 0.8999094202898551, step 126, accuracy 0.8668478260869565
Best accuracy so far: 0.8999094202898551, step 127, accuracy 0.8654891304347826
Best accuracy so far: 0.8999094202898551, step 128, accuracy 0.8666213768115942
Best accuracy so far: 0.8999094202898551, step 129, accuracy 0.8682065217391305
Best accuracy so far: 0.8999094202898551, step 130, accuracy 0.8659420289855072
Best accuracy so far: 0.8999094202898551, step 131, accuracy 0.8666213768115942
Best accuracy so far: 0.8999094202898551, step 132, accuracy 0.8645833333333334
Best accuracy so far: 0.8999094202898551, step 133, accuracy 0.8668478260869565
Best accuracy so far: 0.8999094202898551, step 134, accuracy 0.8679800724637681
Best accuracy so far: 0.8999094202898551, step 135, accuracy 0.8677536231884058
Best accuracy so far: 0.8999094202898551, step 136, accuracy 0.8679800724637681
Best accuracy so far: 0.8999094202898551, step 137, accuracy 0.8684329710144928
Best accuracy so far: 0.8999094202898551, step 138, accuracy 0.8668478260869565
Best accuracy so far: 0.8999094202898551, step 139, accuracy 0.8645833333333334
Best accuracy so far: 0.8999094202898551, step 140, accuracy 0.8654891304347826
Best accuracy so far: 0.8999094202898551, step 141, accuracy 0.8632246376811594
Best accuracy so far: 0.8999094202898551, step 142, accuracy 0.8629981884057971
Best accuracy so far: 0.8999094202898551, step 143, accuracy 0.8625452898550725
Best accuracy so far: 0.8999094202898551, step 144, accuracy 0.8627717391304348
Best accuracy so far: 0.8999094202898551, step 145, accuracy 0.8623188405797102
Best accuracy so far: 0.8999094202898551, step 146, accuracy 0.8618659420289855
Best accuracy so far: 0.8999094202898551, step 147, accuracy 0.860733695652174
Best accuracy so far: 0.8999094202898551, step 148, accuracy 0.8600543478260869
Best accuracy so far: 0.8999094202898551, step 149, accuracy 0.8600543478260869
Best accuracy so far: 0.8999094202898551, step 150, accuracy 0.858016304347826
Best accuracy so far: 0.8999094202898551, step 151, accuracy 0.8575634057971014
Best accuracy so far: 0.8999094202898551, step 152, accuracy 0.8566576086956522
Best accuracy so far: 0.8999094202898551, step 153, accuracy 0.8557518115942029
Best accuracy so far: 0.8999094202898551, step 154, accuracy 0.8582427536231884
Best accuracy so far: 0.8999094202898551, step 155, accuracy 0.8586956521739131
Best accuracy so far: 0.8999094202898551, step 156, accuracy 0.8616394927536232
Best accuracy so far: 0.8999094202898551, step 157, accuracy 0.8645833333333334
Best accuracy so far: 0.8999094202898551, step 158, accuracy 0.8602807971014492
Best accuracy so far: 0.8999094202898551, step 159, accuracy 0.8634510869565217
Best accuracy so far: 0.8999094202898551, step 160, accuracy 0.8639039855072463
Best accuracy so far: 0.8999094202898551, step 161, accuracy 0.8629981884057971
Best accuracy so far: 0.8999094202898551, step 162, accuracy 0.865036231884058
Best accuracy so far: 0.8999094202898551, step 163, accuracy 0.8657155797101449
Best accuracy so far: 0.8999094202898551, step 164, accuracy 0.863677536231884
Best accuracy so far: 0.8999094202898551, step 165, accuracy 0.8643568840579711
Best accuracy so far: 0.8999094202898551, step 166, accuracy 0.8663949275362319
Best accuracy so far: 0.8999094202898551, step 167, accuracy 0.865036231884058
